candidate_id,anchor_id,anchor,priority_rank,surface_form,normalized_form,normalized_concept,concept_id,concept_definition,lexical_form_id,lexical_family,family_id,layer,primary_voice,expression_mode,candidate_provenance,ngram_measurement_id,ngram_measurement_form,ngram_mapping_type,ngram_query_id,ngram_mapping_reason,source_report,source_page,provenance_status
FT-SEED-R1B-P-1938-06,FT-A1938,1938,6,radiation absorption coefficients,radiation absorption coefficients,historical climate / climatological condition,FT-C-HISTORICAL_CLIMATE_CONDITION,"Climate as a historical, geographical, seasonal, or climatological condition.",FT-LF-Q-E604D2BFC8EB,climate,FT-F04,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-06; original visible ID not available",FT-NGM-E604D2BFC8EBE0,radiation absorption coefficients,EXACT,FT-Q-V01-026,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-07,FT-A1938,1938,7,water vapour,water vapour,historical climate / climatological condition,FT-C-HISTORICAL_CLIMATE_CONDITION,"Climate as a historical, geographical, seasonal, or climatological condition.",FT-LF-Q-9215236CF4E2,climate,FT-F04,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-07; original visible ID not available",FT-NGM-9215236CF4E211,water vapour,EXACT,FT-Q-V01-027,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-08,FT-A1938,1938,8,sky radiation,sky radiation,historical climate / climatological condition,FT-C-HISTORICAL_CLIMATE_CONDITION,"Climate as a historical, geographical, seasonal, or climatological condition.",FT-LF-Q-6398ACE2A1A8,climate,FT-F04,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-08; original visible ID not available",FT-NGM-6398ACE2A1A8D2,sky radiation,EXACT,FT-Q-V01-028,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-09,FT-A1938,1938,9,increase in mean temperature,increase in mean temperature,mean temperature,FT-C-MEAN_TEMPERATURE,A temporally or spatially averaged temperature value.,FT-LF-Q-82301C41EF4F,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-09; original visible ID not available",FT-NGM-82301C41EF4F19,increase in mean temperature,EXACT,FT-Q-V01-029,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-10,FT-A1938,1938,10,mean temperature,mean temperature,mean temperature,FT-C-MEAN_TEMPERATURE,A temporally or spatially averaged temperature value.,FT-LF-MEAN_TEMPERATURE,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-10; original visible ID not available",FT-NGM-6BB810586FF4ED,mean temperature,EXACT,FT-Q-V01-030,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-11,FT-A1938,1938,11,temperature observations,temperature observations,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-Q-9F9F95F5AF71,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-11; original visible ID not available",FT-NGM-9F9F95F5AF71D2,temperature observations,EXACT,FT-Q-V01-031,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-12,FT-A1938,1938,12,meteorological stations,meteorological stations,historical climate / climatological condition,FT-C-HISTORICAL_CLIMATE_CONDITION,"Climate as a historical, geographical, seasonal, or climatological condition.",FT-LF-Q-3CDC7F355147,climate,FT-F04,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-12; original visible ID not available",FT-NGM-3CDC7F35514723,meteorological stations,EXACT,FT-Q-V01-032,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-13,FT-A1938,1938,13,world temperatures,world temperatures,global aggregate temperature,FT-C-GLOBAL_AGGREGATE_TEMPERATURE,A global-scale aggregate temperature metric.,FT-LF-Q-D7D389DAC7C8,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-13; original visible ID not available",FT-NGM-D7D389DAC7C89C,world temperatures,EXACT,FT-Q-V01-033,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-14,FT-A1938,1938,14,actually increased,actually increased,temperature increase,FT-C-TEMPERATURE_INCREASE,"An observed, estimated, or projected increase in temperature.",FT-LF-Q-43E421D85164,warming,FT-F03,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-14; original visible ID not available",FT-NGM-43E421D85164A7,actually increased,EXACT,FT-Q-V01-034,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-15,FT-A1938,1938,15,average rate,average rate,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-Q-84EE320D3762,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-15; original visible ID not available",FT-NGM-84EE320D376228,average rate,EXACT,FT-Q-V01-035,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-16,FT-A1938,1938,16,small increases in mean temperature,small increases in mean temperature,mean temperature,FT-C-MEAN_TEMPERATURE,A temporally or spatially averaged temperature value.,FT-LF-Q-B36050736DBB,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-16; original visible ID not available",FT-NGM-B36050736DBB1E,small increases in mean temperature,EXACT,FT-Q-V01-036,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-17,FT-A1938,1938,17,deadly glaciers,deadly glaciers,institutional climate threat,FT-C-INSTITUTIONAL_CLIMATE_THREAT,Climate change framed as an institutional threat.,FT-LF-Q-4F3171858F9C,danger_threat,FT-F11,D,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-17; original visible ID not available",FT-NGM-4F3171858F9C3B,deadly glaciers,EXACT,FT-Q-V01-037,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-18,FT-A1938,1938,18,rather a coincidence,rather a coincidence,personal concern,FT-C-PERSONAL_CONCERN,Concern expressed or endorsed by an identifiable person about a climate or heat object.,FT-LF-Q-FC02D9651D12,concern_alarm,FT-F06,C,V1,E2,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-18; original visible ID not available",FT-NGM-FC02D9651D1263,rather a coincidence,EXACT,FT-Q-V01-038,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-19,FT-A1938,1938,19,Hottest Day for Ten Years,hottest day for ten years,heatwave / weather event,FT-C-HEATWAVE_WEATHER_EVENT,A bounded hot-weather or heatwave event.,FT-LF-Q-C7437EC1957C,heat,FT-F02,A,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-19; original visible ID not available",FT-NGM-C7437EC1957CE2,Hottest Day for Ten Years,EXACT,FT-Q-V01-039,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-20,FT-A1938,1938,20,Heat Wave Over Queensland,heat wave over queensland,heatwave / weather event,FT-C-HEATWAVE_WEATHER_EVENT,A bounded hot-weather or heatwave event.,FT-LF-Q-8D94BCBD47A7,heat,FT-F02,A,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-20; original visible ID not available",FT-NGM-8D94BCBD47A748,Heat Wave Over Queensland,EXACT,FT-Q-V01-040,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-21,FT-A1938,1938,21,heat wave,heat wave,heatwave / weather event,FT-C-HEATWAVE_WEATHER_EVENT,A bounded hot-weather or heatwave event.,FT-LF-HEAT_WAVE,heat,FT-F02,A,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-21; original visible ID not available",FT-NGM-98E3D0B6FAAEFE,heat wave,EXACT,FT-Q-V01-139,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-22,FT-A1938,1938,22,40-degree temperatures,40-degree temperatures,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-P180-10D42AA18F6B,temperature_threshold,FT-F01,A,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-22; original visible ID not available",FT-NGM-E777D244AC7B70,40 degree temperatures,NORMALIZED_VARIANT,FT-Q-P180-C1E5FFD153A9,Hyphenation is normalized; lexical content and temperature sense are unchanged.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-23,FT-A1938,1938,23,scorching westerly wind,scorching westerly wind,heatwave / weather event,FT-C-HEATWAVE_WEATHER_EVENT,A bounded hot-weather or heatwave event.,FT-LF-P180-C7270B3C4D8F,heat,FT-F02,D,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-23; original visible ID not available",FT-NGM-C7270B3C4D8FC2,scorching westerly wind,EXACT,FT-Q-P180-3A71EDABFA32,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-24,FT-A1938,1938,24,pitiless sun,pitiless sun,physical heat source / state,FT-C-PHYSICAL_HEAT_STATE,"Heat as a physical source, state, or thermal condition.",FT-LF-P180-C268D7BF4F3F,heat,FT-F02,D,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-24; original visible ID not available",FT-NGM-C268D7BF4F3F3E,pitiless sun,EXACT,FT-Q-P180-ED8DED1CEFEA,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-25,FT-A1938,1938,25,hottest spell for years,hottest spell for years,heatwave / weather event,FT-C-HEATWAVE_WEATHER_EVENT,A bounded hot-weather or heatwave event.,FT-LF-P180-E201F9DB8C1C,heat,FT-F02,A,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-25; original visible ID not available",FT-NGM-E201F9DB8C1C0B,hottest spell for years,EXACT,FT-Q-P180-B6C72C58A1ED,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-26,FT-A1938,1938,26,weather is just bearable,weather is just bearable,personal concern,FT-C-PERSONAL_CONCERN,Concern expressed or endorsed by an identifiable person about a climate or heat object.,FT-LF-P180-783FEFD6B210,concern_alarm,FT-F06,C,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-26; original visible ID not available",FT-NGM-783FEFD6B210E5,weather is just bearable,EXACT,FT-Q-P180-121ABBF6993D,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-27,FT-A1938,1938,27,heat records,heat records,physical heat source / state,FT-C-PHYSICAL_HEAT_STATE,"Heat as a physical source, state, or thermal condition.",FT-LF-P180-CF24BD32494F,heat,FT-F02,A,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-27; original visible ID not available",FT-NGM-CF24BD32494FAA,heat records,EXACT,FT-Q-P180-B655080E3998,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-28,FT-A1938,1938,28,drought,drought,generic damage,FT-C-GENERIC_DAMAGE,"Generic material, ecological, or social damage.",FT-LF-Q-CAAED8C4EB8D,harm_loss_consequences,FT-F14,D,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-28; original visible ID not available",FT-NGM-CAAED8C4EB8DFE,drought,EXACT,FT-Q-P180-E42CD0DB6D56,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-29,FT-A1938,1938,29,grass fires,grass fires,generic damage,FT-C-GENERIC_DAMAGE,"Generic material, ecological, or social damage.",FT-LF-P180-502A3A2170A5,harm_loss_consequences,FT-F14,D,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-29; original visible ID not available",FT-NGM-502A3A2170A55A,grass fires,EXACT,FT-Q-P180-D32C48F05555,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-30,FT-A1938,1938,30,unbearable heat,unbearable heat,extreme-heat hazard,FT-C-EXTREME_HEAT_HAZARD,Extreme heat framed as a hazard with health or social consequences.,FT-LF-P180-9C756D0F99F7,heat,FT-F02,D,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-30; original visible ID not available",FT-NGM-9C756D0F99F7BA,unbearable heat,EXACT,FT-Q-P180-B3F473A5DEDD,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1988-01,FT-A1988,1988,1,greenhouse effect,greenhouse effect,greenhouse mechanism,FT-C-GREENHOUSE_MECHANISM,Radiative greenhouse mechanism or greenhouse effect.,FT-LF-GREENHOUSE_EFFECT,carbon_greenhouse,FT-F05,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-01; original visible ID not available",FT-NGM-2C4E580C1D49B9,greenhouse effect,EXACT,FT-Q-V01-041,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1988-02,FT-A1988,1988,2,global warming,global warming,global warming as issue label,FT-C-GLOBAL_WARMING_ISSUE_LABEL,"Global warming used as an established public, scientific, or policy issue label.",FT-LF-GLOBAL_WARMING,warming,FT-F03,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-02; original visible ID not available",FT-NGM-41A40CE559EFC5,global warming,EXACT,FT-Q-V01-042,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1988-03,FT-A1988,1988,3,earth is warmer,earth is warmer,temperature increase,FT-C-TEMPERATURE_INCREASE,"An observed, estimated, or projected increase in temperature.",FT-LF-Q-465F2891AA3A,warming,FT-F03,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-03; original visible ID not available",FT-NGM-465F2891AA3A07,earth is warmer,EXACT,FT-Q-V01-043,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1988-04,FT-A1988,1988,4,instrumental measurements,instrumental measurements,historical climate / climatological condition,FT-C-HISTORICAL_CLIMATE_CONDITION,"Climate as a historical, geographical, seasonal, or climatological condition.",FT-LF-Q-483DD5637788,climate,FT-F04,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-04; original visible ID not available",FT-NGM-483DD563778876,instrumental measurements,EXACT,FT-Q-V01-044,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1988-05,FT-A1988,1988,5,cause-and-effect relationship,cause-and-effect relationship,generic damage,FT-C-GENERIC_DAMAGE,"Generic material, ecological, or social damage.",FT-LF-Q-EFDB35169612,harm_loss_consequences,FT-F14,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-05; original visible ID not available",FT-NGM-EFDB35169612A3,cause-and-effect relationship,EXACT,FT-Q-V01-045,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1988-06,FT-A1988,1988,6,global temperature,global temperature,global aggregate temperature,FT-C-GLOBAL_AGGREGATE_TEMPERATURE,A global-scale aggregate temperature metric.,FT-LF-Q-BEB7DF6DD8B2,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-06; original visible ID not available",FT-NGM-BEB7DF6DD8B29A,global temperature,EXACT,FT-Q-V01-046,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1988-07,FT-A1988,1988,7,regional heat waves,regional heat waves,heatwave / weather event,FT-C-HEATWAVE_WEATHER_EVENT,A bounded hot-weather or heatwave event.,FT-LF-Q-BA26E96606CA,heat,FT-F02,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-07; original visible ID not available",FT-NGM-BA26E96606CA5C,regional heat waves,EXACT,FT-Q-V01-047,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1988-08,FT-A1988,1988,8,heat wave,heat wave,heatwave / weather event,FT-C-HEATWAVE_WEATHER_EVENT,A bounded hot-weather or heatwave event.,FT-LF-HEAT_WAVE,heat,FT-F02,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-08; original visible ID not available",FT-NGM-98E3D0B6FAAEFE,heat wave,EXACT,FT-Q-V01-048,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1988-09,FT-A1988,1988,9,drought,drought,generic damage,FT-C-GENERIC_DAMAGE,"Generic material, ecological, or social damage.",FT-LF-Q-CAAED8C4EB8D,harm_loss_consequences,FT-F14,D,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-09; original visible ID not available",FT-NGM-CAAED8C4EB8DFE,drought,EXACT,FT-Q-V01-049,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1988-10,FT-A1988,1988,10,heat wave/drought occurrences,heat wave/drought occurrences,heatwave / weather event,FT-C-HEATWAVE_WEATHER_EVENT,A bounded hot-weather or heatwave event.,FT-LF-Q-D65DF35EA069,heat,FT-F02,D,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-10; original visible ID not available",,,TECHNICALLY_UNREPRESENTABLE,FT-Q-V01-050,The slash coordinates two lexical objects; one linear Ngram would change the candidate's structure and sense.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1988-11,FT-A1988,1988,11,extreme events,extreme events,generic damage,FT-C-GENERIC_DAMAGE,"Generic material, ecological, or social damage.",FT-LF-Q-7C209F863FA4,harm_loss_consequences,FT-F14,D,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-11; original visible ID not available",FT-NGM-7C209F863FA4C8,extreme events,EXACT,FT-Q-V01-051,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
