Candidate ID,Anchor,Rank,Surface Form,Normalised Concept,Lexical Family,Dictionary Status,Direct Headword Exists,Primary Source,Secondary Source,Historical / Domain Source,Concise Definition Paraphrase,Historically Relevant Sense,Modern Sense,Anchor Sense Match,First Attestation,Polysemy Warning,Source Citation / Link,Access Date,Candidate Provenance
FT-SEED-R1B-P-1938-08,1938,8,sky radiation,historical climate / climatological condition,climate,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: radiation.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.","A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.","Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/sky%20radiation; https://websters1913.timcieplowski.com/word/radiation/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-08; original visible ID not available"
FT-SEED-R1B-P-1938-09,1938,9,increase in mean temperature,mean temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: temperature.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/increase%20in%20mean%20temperature; https://websters1913.timcieplowski.com/word/temperature/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-09; original visible ID not available"
FT-SEED-R1B-P-1938-10,1938,10,mean temperature,mean temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: temperature.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/mean%20temperature; https://websters1913.timcieplowski.com/word/temperature/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-10; original visible ID not available"
FT-SEED-R1B-P-1938-11,1938,11,temperature observations,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: observations.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/temperature%20observations; https://websters1913.timcieplowski.com/word/observations/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-11; original visible ID not available"
FT-SEED-R1B-P-1938-12,1938,12,meteorological stations,historical climate / climatological condition,climate,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: stations.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.","A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.","Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/meteorological%20stations; https://websters1913.timcieplowski.com/word/stations/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-12; original visible ID not available"
FT-SEED-R1B-P-1938-13,1938,13,world temperatures,global aggregate temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: temperatures.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A global-scale aggregate temperature metric; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A global-scale aggregate temperature metric; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/world%20temperatures; https://websters1913.timcieplowski.com/word/temperatures/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-13; original visible ID not available"
FT-SEED-R1B-P-1938-14,1938,14,actually increased,temperature increase,warming,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: increased.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"An observed, estimated, or projected increase in temperature; the candidate is interpreted in its documented anchor and voice context.","A physical temperature, warming, heat, or measurement sense in the documented anchor context.","An observed, estimated, or projected increase in temperature; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/actually%20increased; https://websters1913.timcieplowski.com/word/increased/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-14; original visible ID not available"
FT-SEED-R1B-P-1938-15,1938,15,average rate,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: rate.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/average%20rate; https://websters1913.timcieplowski.com/word/rate/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-15; original visible ID not available"
FT-SEED-R1B-P-1938-16,1938,16,small increases in mean temperature,mean temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: temperature.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A temporally or spatially averaged temperature value; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/small%20increases%20in%20mean%20temperature; https://websters1913.timcieplowski.com/word/temperature/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-16; original visible ID not available"
FT-SEED-R1B-P-1938-17,1938,17,deadly glaciers,institutional climate threat,danger_threat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: glaciers.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Climate change framed as an institutional threat; the candidate is interpreted in its documented anchor and voice context.,"A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.",Climate change framed as an institutional threat; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/deadly%20glaciers; https://websters1913.timcieplowski.com/word/glaciers/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-17; original visible ID not available"
FT-SEED-R1B-P-1938-18,1938,18,rather a coincidence,personal concern,concern_alarm,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: coincidence.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Concern expressed or endorsed by an identifiable person about a climate or heat object; the candidate is interpreted in its documented anchor and voice context.,An epistemic evaluation that two observations may coincide rather than stand in a causal relation; normally no affect.,Concern expressed or endorsed by an identifiable person about a climate or heat object; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,Coincidence has epistemic and event-overlap senses; neither should be recoded as emotion here.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/rather%20a%20coincidence; https://websters1913.timcieplowski.com/word/coincidence/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-18; original visible ID not available"
FT-SEED-R1B-P-1938-19,1938,19,Hottest Day for Ten Years,heatwave / weather event,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: years.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A bounded hot-weather or heatwave event; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A bounded hot-weather or heatwave event; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/Hottest%20Day%20for%20Ten%20Years; https://websters1913.timcieplowski.com/word/years/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-19; original visible ID not available"
FT-SEED-R1B-P-1938-20,1938,20,Heat Wave Over Queensland,heatwave / weather event,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: queensland.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A bounded hot-weather or heatwave event; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A bounded hot-weather or heatwave event; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/Heat%20Wave%20Over%20Queensland; https://websters1913.timcieplowski.com/word/queensland/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-20; original visible ID not available"
FT-SEED-R1B-P-1938-21,1938,21,heat wave,heatwave / weather event,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: wave.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A bounded hot-weather or heatwave event; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A bounded hot-weather or heatwave event; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=9; https://api.dictionaryapi.dev/api/v2/entries/en/heat%20wave; https://websters1913.timcieplowski.com/word/wave/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-21; original visible ID not available"
FT-SEED-R1B-P-1938-22,1938,22,40-degree temperatures,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: temperatures.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/40-degree%20temperatures; https://websters1913.timcieplowski.com/word/temperatures/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-22; original visible ID not available"
FT-SEED-R1B-P-1938-23,1938,23,scorching westerly wind,heatwave / weather event,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: wind.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A bounded hot-weather or heatwave event; the candidate is interpreted in its documented anchor and voice context.,"A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.",A bounded hot-weather or heatwave event; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/scorching%20westerly%20wind; https://websters1913.timcieplowski.com/word/wind/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-23; original visible ID not available"
FT-SEED-R1B-P-1938-24,1938,24,pitiless sun,physical heat source / state,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: sun.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Heat as a physical source, state, or thermal condition; the candidate is interpreted in its documented anchor and voice context.","A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.","Heat as a physical source, state, or thermal condition; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/pitiless%20sun; https://websters1913.timcieplowski.com/word/sun/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-24; original visible ID not available"
FT-SEED-R1B-P-1938-25,1938,25,hottest spell for years,heatwave / weather event,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: years.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A bounded hot-weather or heatwave event; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A bounded hot-weather or heatwave event; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/hottest%20spell%20for%20years; https://websters1913.timcieplowski.com/word/years/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-25; original visible ID not available"
FT-SEED-R1B-P-1938-26,1938,26,weather is just bearable,personal concern,concern_alarm,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: bearable.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Concern expressed or endorsed by an identifiable person about a climate or heat object; the candidate is interpreted in its documented anchor and voice context.,The candidate's affective or evaluative sense as used by the documented speaker/instrument/research voice at the anchor.,Concern expressed or endorsed by an identifiable person about a climate or heat object; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/weather%20is%20just%20bearable; https://websters1913.timcieplowski.com/word/bearable/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-26; original visible ID not available"
FT-SEED-R1B-P-1938-27,1938,27,heat records,physical heat source / state,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: records.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Heat as a physical source, state, or thermal condition; the candidate is interpreted in its documented anchor and voice context.","A physical temperature, warming, heat, or measurement sense in the documented anchor context.","Heat as a physical source, state, or thermal condition; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/heat%20records; https://websters1913.timcieplowski.com/word/records/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-27; original visible ID not available"
FT-SEED-R1B-P-1938-28,1938,28,drought,generic damage,harm_loss_consequences,DIRECT_HEADWORD,YES,Webster's Revised Unabridged Dictionary (1913 public-domain headword index),Component headword checked: drought.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.","A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.","Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://websters1913.timcieplowski.com/word/drought/; https://api.dictionaryapi.dev/api/v2/entries/en/drought,2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-28; original visible ID not available"
FT-SEED-R1B-P-1938-29,1938,29,grass fires,generic damage,harm_loss_consequences,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: fires.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.","A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.","Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/grass%20fires; https://websters1913.timcieplowski.com/word/fires/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-29; original visible ID not available"
FT-SEED-R1B-P-1938-30,1938,30,unbearable heat,extreme-heat hazard,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: heat.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Extreme heat framed as a hazard with health or social consequences; the candidate is interpreted in its documented anchor and voice context.,"A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.",Extreme heat framed as a hazard with health or social consequences; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/unbearable%20heat; https://websters1913.timcieplowski.com/word/heat/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-30; original visible ID not available"
FT-SEED-R1B-P-1988-01,1988,1,greenhouse effect,greenhouse mechanism,carbon_greenhouse,TECHNICAL_GLOSSARY,NO,IPCC climate-science glossary / assessment terminology,Component headword checked: effect.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,The atmospheric warming influence produced when greenhouse gases absorb and re-emit outgoing infrared radiation.,"A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.",The atmospheric warming influence produced when greenhouse gases absorb and re-emit outgoing infrared radiation.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-AnnexII_FINAL.pdf; https://api.dictionaryapi.dev/api/v2/entries/en/greenhouse%20effect; https://websters1913.timcieplowski.com/word/effect/,2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-01; original visible ID not available"
FT-SEED-R1B-P-1988-02,1988,2,global warming,global warming as issue label,warming,TECHNICAL_GLOSSARY,NO,IPCC climate-science glossary / assessment terminology,Component headword checked: warming.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"The long-term rise in global mean surface temperature, commonly used as an established issue label in modern climate discourse.","A physical temperature, warming, heat, or measurement sense in the documented anchor context.","The long-term rise in global mean surface temperature, commonly used as an established issue label in modern climate discourse.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-AnnexII_FINAL.pdf; https://api.dictionaryapi.dev/api/v2/entries/en/global%20warming; https://websters1913.timcieplowski.com/word/warming/,2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-02; original visible ID not available"
FT-SEED-R1B-P-1988-03,1988,3,earth is warmer,temperature increase,warming,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: warmer.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"An observed, estimated, or projected increase in temperature; the candidate is interpreted in its documented anchor and voice context.","A physical temperature, warming, heat, or measurement sense in the documented anchor context.","An observed, estimated, or projected increase in temperature; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=9; https://api.dictionaryapi.dev/api/v2/entries/en/earth%20is%20warmer; https://websters1913.timcieplowski.com/word/warmer/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.9; project candidate FT-SEED-R1B-P-1988-03; original visible ID not available"
